'played','guessed'
'F2','C2'
'D#6','F5'
'F3','A2'
'F2','G2'
'A2','A2'
'F#2','F#2'
'D#4','G#4'
'B6','G#5'
'B2','B2'
'F#4','B5'
'A#5','A5'
'A2','G2'
'D2','C2'
'G6','F6'
'B2','B2'
'D#3','D#3'
'A#6','F#6'
'E2','F2'
'F#3','F3'
'E5','G#4'
'D#5','D#5'
'F3','D4'
'F#3','G3'
'G#5','A4'
'F6','B5'
'E2','G2'
'C#4','G#3'
'A#3','A3'
'G5','G#4'
'G5','G5'
'A#6','G6'
'A6','G#6'
'F3','D3'
'D#6','A5'
'A6','A6'
'A4','B5'
'E5','F4'
'C2','D2'
'C#2','C#2'
'E2','F2'
'D6','E5'
'A4','A5'
'F5','F4'
'D#6','G6'
'G6','G6'
'F3','C4'
'C3','C3'
'D5','G4'
'F#5','G5'
'C2','D2'
'D#3','D#3'
